experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
adult_baseline,0.8241,0.6886,0.8932,0.6605,0.4752,0.0,0.0,0.4234,0.0041,0.2053
adult_dp_local_adaptive,0.7679,0.6423,0.8808,0.6435,0.5428,0.0,0.0,0.4625,0.008,0.2258
adult_dp_local_eps1,0.7424,0.62,0.8716,0.6464,0.6063,0.0,0.0,0.4756,0.0083,0.2263
adult_dp_local_eps2,0.7631,0.6387,0.8804,0.6456,0.6298,0.0,0.0,0.4609,0.0081,0.1839
adult_dp_local_eps5,0.788,0.6624,0.8865,0.6496,0.6379,0.0,0.0,0.4466,0.0082,0.1607
adult_dp_server_adaptive,0.2776,0.4063,0.6982,0.4572,0.7179,0.0,0.0,0.5028,0.0006,0.6908
adult_dp_server_fixed,0.7262,0.6167,0.8658,0.6448,0.583,0.0,0.0,0.5308,0.0032,0.6619
adult_feature_poison_clip,0.8167,0.6883,0.8965,0.6643,0.4169,0.1833,0.0,0.4964,0.0039,0.5243
adult_feature_poison_krum,0.8253,0.633,0.8632,0.6322,0.736,0.1747,0.0,0.3793,0.0064,0.1602
adult_feature_poison_median,0.8185,0.6805,0.8923,0.6698,0.4715,0.1815,0.0,0.4266,0.0038,0.212
adult_feature_poison_only,0.8235,0.6865,0.8941,0.6619,0.4727,0.1765,0.0,0.4236,0.0041,0.2029
adult_feature_poison_trimmed,0.8231,0.6859,0.8931,0.6672,0.4703,0.1769,0.0,0.4245,0.0042,0.2089
adult_final_system,0.7525,0.6261,0.8731,0.6489,0.4603,0.2475,0.0,0.4886,0.0056,0.5226
adult_label_flip_clip,0.8132,0.6803,0.8896,0.6579,0.4528,0.1868,0.0,0.5015,0.0032,0.5735
adult_label_flip_krum,0.8253,0.633,0.8632,0.6322,0.736,0.1747,0.0,0.3793,0.0064,0.1602
adult_label_flip_median,0.824,0.678,0.8857,0.6614,0.3867,0.176,0.0,0.4387,0.0035,0.3152
adult_label_flip_only,0.8265,0.6815,0.8845,0.6582,0.3892,0.1735,0.0,0.4366,0.0035,0.3122
adult_label_flip_trimmed,0.8228,0.676,0.8845,0.6619,0.3871,0.1772,0.0,0.4378,0.0035,0.3198
adult_scaling_clip,0.797,0.6748,0.8968,0.6629,0.5403,0.203,0.0,0.5261,0.002,0.6522
adult_scaling_krum,0.7963,0.6515,0.867,0.6662,0.4268,0.2037,0.0,0.4684,0.0034,0.3754
adult_scaling_median,0.8178,0.6888,0.8946,0.6682,0.4093,0.1822,0.0,0.4942,0.0039,0.5035
adult_scaling_only,0.8147,0.6809,0.8918,0.6687,0.5399,0.1853,0.0,0.4258,0.0051,0.1866
adult_scaling_trimmed,0.811,0.6826,0.8949,0.6687,0.3869,0.189,0.0,0.4792,0.0046,0.4276
adult_sign_flip_clip,0.7548,0.0302,0.8374,0.5498,0.6906,0.2452,0.0,0.5607,-0.0,0.6931
adult_sign_flip_krum,0.8271,0.6437,0.8684,0.639,0.4205,0.1729,0.0,0.4799,0.0041,0.5151
adult_sign_flip_median,0.8294,0.6616,0.8802,0.6569,0.5109,0.1706,0.0,0.5328,0.0023,0.6319
adult_sign_flip_only,0.7232,0.0036,0.1873,0.5374,0.6906,0.2768,0.0,0.4385,0.0,0.6931
adult_sign_flip_trimmed,0.7863,0.3597,0.8275,0.5866,0.6816,0.2137,0.0,0.5588,-0.0,0.693
adult_targeted_flip_clip,0.7565,0.0442,0.8822,0.5515,0.451,0.9774,0.0,0.4913,0.0018,0.5062
adult_targeted_flip_krum,0.751,0.0,0.5622,0.547,4.3837,1.0,0.0,0.2023,0.0,0.0001
adult_targeted_flip_median,0.76,0.0706,0.8432,0.5536,1.3034,0.9634,0.0,0.2423,0.0007,0.0292
adult_targeted_flip_only,0.7658,0.113,0.873,0.5568,1.015,0.9401,0.0,0.2901,-0.0001,0.0595
adult_targeted_flip_trimmed,0.757,0.0481,0.8663,0.552,1.2927,0.9754,0.0,0.2519,0.0006,0.0272
