experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
baseline,0.8226,0.6762,0.887,0.6544,0.6184,0.0,0.0,0.413,0.0065,0.1581
dp_local_adaptive,0.7958,0.6654,0.8864,0.6607,0.6096,0.0,0.0,0.4399,0.0084,0.1632
dp_local_eps1,0.7883,0.6568,0.884,0.6559,0.6902,0.0,0.0,0.4415,0.0092,0.1433
dp_local_eps2,0.7951,0.6658,0.8877,0.6607,0.6999,0.0,0.0,0.4374,0.0087,0.1305
dp_local_eps5,0.8062,0.6795,0.893,0.6658,0.7024,0.0,0.0,0.4324,0.0077,0.12
dp_server_adaptive,0.4895,0.4834,0.8031,0.5712,0.6916,0.0,0.0,0.5266,0.0013,0.69
dp_server_fixed,0.7588,0.4974,0.7688,0.6208,1.1846,0.0,0.0,0.3765,0.0021,0.1568
feature_poison_clip,0.8003,0.6725,0.8912,0.6443,0.4294,0.1997,0.0,0.4994,0.0036,0.5318
feature_poison_krum,0.7378,0.6208,0.8617,0.6302,0.5839,0.2622,0.0,0.493,0.0069,0.254
feature_poison_median,0.7421,0.6238,0.8704,0.6395,0.4669,0.2579,0.0,0.4967,0.0057,0.339
feature_poison_only,0.7636,0.6449,0.8709,0.6305,0.4567,0.2364,0.0,0.4924,0.0044,0.3327
feature_poison_trimmed,0.7447,0.6251,0.8709,0.6388,0.4656,0.2553,0.0,0.4964,0.0059,0.3333
final_system,0.212,0.1127,0.1289,0.362,5.8798,0.788,0.0,0.5588,-0.0004,0.2027
label_flip_clip,0.4991,0.2743,0.4425,0.5049,0.7363,0.5009,0.0,0.4898,0.002,0.6724
label_flip_krum,0.2158,0.1208,0.1465,0.3688,15.26,0.7842,0.0,0.5739,0.0,0.1058
label_flip_median,0.2833,0.186,0.2228,0.3895,2.8649,0.7167,0.0,0.5359,0.0003,0.3458
label_flip_only,0.6917,0.4523,0.7041,0.611,0.7655,0.3083,0.0,0.463,0.0066,0.3658
label_flip_trimmed,0.3037,0.1803,0.2346,0.4023,2.4878,0.6963,0.0,0.5214,0.0012,0.3787
scaling_clip,0.811,0.6825,0.893,0.6517,0.4255,0.189,0.0,0.4972,0.0028,0.53
scaling_krum,0.7844,0.6361,0.8556,0.6446,1.6765,0.2156,0.0,0.425,0.0111,0.0821
scaling_median,0.7955,0.651,0.7858,0.6531,39594.9805,0.2045,0.0,0.402,-0.0004,0.0
scaling_only,0.7792,0.6382,0.7802,0.6392,82398208000.0,0.2208,0.0,0.4186,0.0022,-0.0
scaling_trimmed,0.7902,0.6564,0.7951,0.6547,14260537344.0,0.2098,0.0,0.419,0.0024,-0.0
sign_flip_clip,0.7522,0.0603,0.7763,0.5511,0.6888,0.2478,0.0,0.5746,0.0,0.6931
sign_flip_krum,0.7892,0.6368,0.8527,0.6498,1.214,0.2108,0.0,0.4214,0.0072,0.1333
sign_flip_median,0.7512,0.0105,0.2738,0.5465,0.6931,0.2488,0.0,0.6828,-0.0003,0.6903
sign_flip_only,0.7824,0.5793,0.7231,0.6198,2581.7952,0.2176,0.0,0.3619,0.0011,0.0002
sign_flip_trimmed,0.8207,0.6889,0.8717,0.6617,0.446,0.1793,0.0,0.5205,0.0041,0.5239
targeted_flip_clip,0.751,0.0,0.7539,0.547,0.5671,1.0,0.0,0.5159,0.0016,0.3894
targeted_flip_krum,0.751,0.0,0.4417,0.547,6.6471,1.0,0.0,0.2032,0.0,0.0
targeted_flip_median,0.751,0.0,0.5504,0.547,6.0098,1.0,0.0,0.2771,-0.0,0.0
targeted_flip_only,0.7583,0.0618,0.8569,0.553,1.5685,0.968,0.0,0.2372,0.002,0.02
targeted_flip_trimmed,0.751,0.0,0.5596,0.547,5.984,1.0,0.0,0.3012,-0.0,0.0
