experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
credit_baseline,0.9963,0.4439,0.963,0.0003,0.0134,0.0,0.0,0.8,-0.0002,0.0059
credit_dp_local_adaptive,0.9963,0.4439,0.9614,0.0011,0.1484,0.0,15.3844,0.8,0.0001,0.397
credit_dp_local_eps1,0.9961,0.4178,0.9278,0.0007,0.1811,0.0,1.3182,0.8,0.0001,0.445
credit_dp_local_eps2,0.9963,0.4439,0.9597,0.0012,0.1488,0.0,3.9559,0.8,0.0,0.3977
credit_dp_local_eps5,0.9963,0.4439,0.9673,0.0011,0.1242,0.0,22.6747,0.8,0.0,0.3557
credit_dp_server_fixed,0.9963,0.4439,0.9623,0.0003,0.0123,0.0,0.0,0.7978,-0.0001,0.0109
credit_feature_poison_clip,0.9963,0.4491,0.9703,0.0007,0.5618,0.0037,0.0,0.7993,0.0,0.683
credit_feature_poison_krum,0.9511,0.055,0.8888,0.0008,0.1459,0.1735,0.0,0.8,-0.0,0.3923
credit_feature_poison_median,0.9515,0.0624,0.9771,0.0022,0.2518,0.0612,0.0,0.8,0.0001,0.5255
credit_feature_poison_only,0.9963,0.4439,0.9616,0.0003,0.012,0.0037,0.0,0.7993,-0.0001,0.0102
credit_feature_poison_trimmed,0.9515,0.0624,0.9785,0.002,0.2602,0.0612,0.0,0.8,0.0001,0.5341
credit_fedprox,0.9963,0.4491,0.9693,0.0004,0.0147,0.0,0.0,0.8,-0.0002,0.0379
credit_final_system,0.9511,0.0543,0.9154,0.0054,0.2904,0.1837,3.9559,0.8,0.0001,0.5624
credit_final_system_feature,0.9514,0.0597,0.957,0.004,0.1493,0.102,3.9559,0.8,0.0001,0.3985
credit_final_system_sign,0.9492,0.0,0.0879,0.0064,0.7161,1.0,3.9559,0.8,-0.0,0.6929
credit_final_system_targeted,0.9511,0.0556,0.9256,0.0037,0.147,0.1633,3.9559,0.8,0.0001,0.394
credit_fltrust,0.9963,0.4439,0.9752,0.0007,0.2645,0.0,0.0,0.8,0.0,0.5379
credit_label_flip_clip,0.9962,0.4386,0.9569,0.0004,0.6035,0.0038,0.0,0.7993,-0.0,0.6885
credit_label_flip_krum,0.9511,0.0556,0.8837,0.0009,0.106,0.1633,0.0,0.8,-0.0001,0.3171
credit_label_flip_median,0.9514,0.0611,0.9566,0.0007,0.3448,0.0816,0.0,0.8,-0.0,0.6002
credit_label_flip_only,0.9961,0.4178,0.9212,0.0003,0.0653,0.0039,0.0,0.7993,-0.0003,0.215
credit_label_flip_trimmed,0.9514,0.0611,0.9544,0.001,0.3749,0.0816,0.0,0.8,0.0,0.6186
credit_scaling_clip,0.9963,0.4491,0.9748,0.0007,0.2587,0.0037,0.0,0.7993,0.0,0.5322
credit_scaling_krum,0.9962,0.4334,0.9594,0.0009,0.0085,0.0038,0.0,0.7993,-0.0002,0.0004
credit_scaling_median,0.9964,0.4595,0.9807,0.0006,0.0091,0.0036,0.0,0.7993,-0.0002,0.0233
credit_scaling_only,0.9963,0.4439,0.9682,0.0004,0.0131,0.0037,0.0,0.7993,-0.0002,0.001
credit_scaling_trimmed,0.9963,0.4491,0.9794,0.0006,0.0137,0.0037,0.0,0.7993,-0.0001,0.0432
credit_sign_flip_clip,0.9935,0.0107,0.3311,0.0006,0.6968,0.0065,0.0,0.7993,0.0,0.6931
credit_sign_flip_krum,0.9513,0.0584,0.9528,0.0007,0.4793,0.1224,0.0,0.8,-0.0001,0.6612
credit_sign_flip_median,0.9485,0.0034,0.2366,0.003,0.6787,0.949,0.0,0.8,0.0,0.693
credit_sign_flip_only,0.9933,0.0,0.0553,0.0002,0.6926,0.0067,0.0,0.7993,0.0,0.6931
credit_sign_flip_trimmed,0.9503,0.0381,0.7202,0.0022,0.6909,0.4286,0.0,0.8,0.0,0.6931
credit_targeted_flip_clip,0.9952,0.2924,0.854,0.0002,0.5257,0.4286,0.0,0.7993,-0.0,0.676
credit_targeted_flip_krum,0.9512,0.057,0.9226,0.0007,0.1144,0.1429,0.0,0.8,-0.0001,0.3365
credit_targeted_flip_median,0.9515,0.0624,0.9732,0.0014,0.2588,0.0612,0.0,0.8,0.0,0.5331
credit_targeted_flip_only,0.9961,0.4178,0.9327,0.0003,0.0053,0.1837,0.0,0.7993,-0.0,0.0036
credit_targeted_flip_trimmed,0.9515,0.0631,0.9749,0.0017,0.2572,0.051,0.0,0.8,-0.0,0.5314
